,,Proliferation group,,,,
160214_at,1700003F10Rik,RIKEN cDNA 1700003F10 gene,chr6 ,0.072,6,0.039
160218_at,2310056P07Rik,RIKEN cDNA 2310056P07 gene,chr16 ,0.971,6,0.002
160225_at,Gtf2b,general transcription factor IIB,chr3 ,0.477,6,0.012
160235_at,5033425B17Rik,RIKEN cDNA 5033425B17 gene,chr7 ,0.992,6,0.006
160247_at,Ube2v2,ubiquitin-conjugating enzyme E2 variant 2,chr15 ,1.044,6,0.003
160256_at,1110020J08Rik,RIKEN cDNA 1110020J08 gene,---,0.939,6,0.001
160262_at,Mtch2,mitochondrial carrier homolog 2 (C. elegans),chr2 ,0.99,6,0.01
160266_r_at,1110064N10Rik,RIKEN cDNA 1110064N10 gene,chr15 ,0.96,6,0.041
160293_at,2700038L12Rik,RIKEN cDNA 2700038L12 gene,chr9 ,1.194,6,0.048
160297_at,MGC36453,hypothetical protein LOC381045,chr14 ,2.932,6,0.003
160299_at,Rwdd1,RWD domain containing 1,chr10 ,1.08,6,0.034
160314_at,2010317E03Rik,RIKEN cDNA 2010317E03 gene,chr10 ,0.092,6,0.007
160324_at,Rpa3,replication protein A3,chr1 ,1.959,6,0.009
160344_at,Npc2,Niemann Pick type C2,chr12 ,0.888,6,0.036
160360_at,Sep15-pending,selenoprotein,chr3 ,-0.129,6,0.012
160412_at,Pdcd2,programmed cell death 2,chr17 ,0.662,6,0.048
160416_at,Fkbp3,FK506 binding protein 3,chr12 ,0.512,6,0.006
160426_at,Rpo1-1,RNA polymerase 1-1,chr17 ,0.705,6,0.029
160431_at,Mrpl12,mitochondrial ribosomal protein L12,chr11 ,2.077,6,0.009
160444_at,2010319C14Rik,RIKEN cDNA 2010319C14 gene,chr16 ,0.548,6,0.042
160456_at,1100001J08Rik,RIKEN cDNA 1100001J08 gene,---,0.642,6,0.011
160485_r_at,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",---,0.185,6,0.012
160503_at,Fbl,fibrillarin,chr17 ,1.886,6,0
160531_at,Grcc2f,"gene rich cluster, C2f gene",chr6 ,0.73,6,0.036
160536_at,Hras1,Harvey rat sarcoma virus oncogene 1,---,0.429,6,0.031
160538_at,Cdk4,cyclin-dependent kinase 4,chr10 ,2.296,6,0.032
160543_at,Snx3,sorting nexin 3,chr10 ,0.395,6,0.023
160550_i_at,Magoh,"mago-nashi homolog, proliferation-associated (Drosophila)",chr4 ,0.676,6,0.016
160551_at,Vdac3,voltage-dependent anion channel 3,chr13 ,0.534,6,0.006
160556_at,1810020G14Rik,RIKEN cDNA 1810020G14 gene,chr12 ,0.101,6,0.023
160569_at,2310008M10Rik,RIKEN cDNA 2310008M10 gene,chr3 ,1.341,6,0.006
160585_at,2810470K21Rik,RIKEN cDNA 2810470K21 gene,---,2.814,6,0.011
160621_at,Mrps22,mitochondrial ribosomal protein S22,chr9 ,0.891,6,0.017
160659_at,2310057G13Rik,RIKEN cDNA 2310057G13 gene,chr10 ,0.89,6,0
160709_at,1110001A16Rik,RIKEN cDNA 1110001A16 gene,chr17 ,0.843,6,0
160711_at,Decr1,"2,4-dienoyl CoA reductase 1, mitochondrial",chr4 ,0.759,6,0.006
160723_at,1500001M20Rik,RIKEN cDNA 1500001M20 gene,chr6 ,1.3,6,0.044
160743_at,Pole3,"polymerase (DNA directed), epsilon 3 (p17 subunit)",chr4 ,0.238,6,0.008
160805_s_at,Mpdu1,mannose-P-dolichol utilization defect 1,chr11 ,0.143,6,0.011
160844_at,Pts,6-pyruvoyl-tetrahydropterin synthase,chr9 ,0.175,6,0.049
160856_at,Ubl4,ubiquitin-like 4,---,0.36,6,0.007
160872_f_at,2310008H09Rik,RIKEN cDNA 2310008H09 gene,chr7 ,0.592,6,0.016
160876_at,Bcap29,B-cell receptor-associated protein 29,chr12 ,1.484,6,0.023
161004_at,1700097N02Rik,RIKEN cDNA 1700097N02 gene,---,0.221,6,0.005
161147_f_at,1110046L09Rik,RIKEN cDNA 1110046L09 gene,chr8 ,3.517,6,0.013
161359_s_at,Apoa1bp,apolipoprotein A-I binding protein,chr3 ,0.755,6,0.006
161487_f_at,NoneAvailable,"Mus musculus transcribed sequence with strong similarity to protein sp:P48201 (H.sapiens) AT93_HUMAN ATP synthase lipid-binding protein, mitochondrial precursor (ATP synthase proteolipid P3) (ATPase protein 9) (ATPase subunit C)",---,0.986,6,0.005
161522_i_at,Cst3,cystatin C,chr2 ,0.465,6,0.046
161872_f_at,1110049G11Rik,RIKEN cDNA 1110049G11 gene,---,1.026,6,0.01
161897_f_at,Prps1,phosphoribosyl pyrophosphate synthetase 1,chrX ,0.02,6,0.026
162013_f_at,D4Ertd786e,"DNA segment, Chr 4, ERATO Doi 786, expressed",chr7 ,0.907,6,0.006
162235_f_at,D19Wsu55e,"DNA segment, Chr 19, Wayne State University 55, expressed",chr19 ,0.378,6,0.003
162417_at,1500001M20Rik,RIKEN cDNA 1500001M20 gene,---,0.537,6,0.003
162466_at,1810004D07Rik,RIKEN cDNA 1810004D07 gene,---,0.295,6,0.031
92388_at,BC038311,cDNA sequence BC038311,chr5 ,0.478,6,0.025
92540_f_at,Srm,spermidine synthase,chr4 ,6.091,6,0.001
92547_at,Hip2,huntingtin interacting protein 2,chr5 ,0.567,6,0.04
92565_at,1110005A23Rik,RIKEN cDNA 1110005A23 gene,chr19 ,0.994,6,0.007
92574_at,3110001M13Rik,RIKEN cDNA 3110001M13 gene,chr9 ,1.899,6,0.011
92578_at,Scye1,"small inducible cytokine subfamily E, member 1",chr3 ,0.839,6,0.011
92589_at,Psph,phosphoserine phosphatase,chr5 ,0.853,6,0.013
92596_at,Cacybp,calcyclin binding protein,chr1 ,0.523,6,0.039
92615_at,AI837181,expressed sequence AI837181,chr4 ,2.807,6,0.001
92625_at,Nme2,"expressed in non-metastatic cells 2, protein",chr10 ,1.732,6,0.004
92629_f_at,Hdgf,hepatoma-derived growth factor,---,0.521,6,0.019
92636_f_at,Sec61g,"SEC61, gamma subunit",chr1 ,1.533,6,0.004
92646_at,Mrpl23,mitochondrial ribosomal protein L23,chr2 ,2.152,6,0.028
92770_at,S100a6,S100 calcium binding protein A6 (calcyclin),chr3 ,-3.204,6,0
92778_i_at,NoneAvailable,---,---,-1.238,6,0.049
92788_f_at,Cetn3,centrin 3,chr13 ,1.678,6,0.018
92798_at,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",chrX ,1.327,6,0.003
92799_g_at,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",chr2 ,1.541,6,0.001
92800_i_at,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1",chr13 ,0.86,6,0
92824_at,Nme6,"expressed in non-metastatic cells 6, protein",chr9 ,1.781,6,0.001
92826_at,Gdap3,ganglioside-induced differentiation-associated-protein 3,---,0.209,6,0.003
92829_at,Hspe1,heat shock protein 1 (chaperonin 10),chr1 ,1.429,6,0.001
92831_at,Sfxn1,sideroflexin 1,---,1.223,6,0.005
92874_f_at,Cops7a,"COP9 (constitutive photomorphogenic) homolog, subunit 7a (Arabidopsis thaliana)",chr6 ,1.098,6,0.003
92876_at,Ndufs4,NADH dehydrogenase (ubiquinone) Fe-S protein 4,chr13 ,0.222,6,0.002
93008_at,Lsm4,"LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)",chr8 ,2.177,6,0.021
93014_at,Atp5l,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g",chr11 ,1.668,6,0.019
93029_at,Idh3g,"isocitrate dehydrogenase 3 (NAD+), gamma",chrX ,0.845,6,0.006
93041_at,Mcm4,minichromosome maintenance deficient 4 homolog (S. cerevisiae),chr16 ,1.922,6,0.039
93042_at,Bzrp,"benzodiazepine receptor, peripheral",chr15 ,0.924,6,0.021
93062_at,Mrpl39,mitochondrial ribosomal protein L39,chr16 ,1.936,6,0.016
93078_at,Ly6a,"lymphocyte antigen 6 complex, locus A",chr15 ,-3.737,6,0.008
93084_at,Slc25a4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",chr8 ,0.194,6,0.005
93085_at,Psmb9,"proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional protease 2)",chr17 ,0.307,6,0.015
93095_at,Hmgb1,high mobility group box 1,chr11 ,0.963,6,0.03
93101_s_at,Nedd4,"neural precursor cell expressed, developmentally down-regulted gene 4",chr9 ,-0.095,6,0.003
93112_at,Mcm2,minichromosome maintenance deficient 2 mitotin (S. cerevisiae),chr6 ,2.139,6,0.018
93117_at,Hnrpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,chr6 ,0.4,6,0.006
93139_at,4432411H13Rik,RIKEN cDNA 4432411H13 gene,chr5 ,-0.583,6,0.031
93203_f_at,3230402J05Rik,RIKEN cDNA 3230402J05 gene,chr17 ,-0.003,6,0.01
93236_s_at,Tyms,thymidylate synthase,chr10 ,3.228,6,0.012
93237_s_at,Tyms,thymidylate synthase,chr10 ,2.144,6,0.021
93251_at,Nipsnap1,4-nitrophenylphosphatase domain and non-neuronal SNAP25-like protein homolog 1 (C. elegans),chr11 ,0.772,6,0.027
93258_at,Hmbs,hydroxymethylbilane synthase,chr9 ,2.914,6,0.046
93277_at,Hspd1,heat shock protein 1 (chaperonin),chr1 ,1.14,6,0.029
93290_at,Pnp,purine-nucleoside phosphorylase,chr14 ,1.213,6,0.044
93323_at,Plp2,proteolipid protein 2,chr2 ,-0.4,6,0.008
93336_at,1110014C03Rik,RIKEN cDNA 1110014C03 gene,chr12 ,0.813,6,0.041
93456_r_at,NoneAvailable,---,chr14 ,-0.076,6,0.01
93495_at,Prdx4,peroxiredoxin 4,chrX ,0.796,6,0.013
93512_f_at,Adk,adenosine kinase,chr14 ,0.798,6,0
93519_s_at,Nedd8,"neural precursor cell expressed, developmentally down-regulated gene 8",chr14 ,2.012,6,0.002
93531_at,Ndufa8,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8",chr2 ,1.477,6,0.042
93533_at,1500011L16Rik,RIKEN cDNA 1500011L16 gene,---,2.198,6,0.022
93539_at,1810004D07Rik,RIKEN cDNA 1810004D07 gene,---,1.406,6,0
93542_at,Pter,phosphotriesterase related,chr2 ,1.123,6,0.022
93548_at,Sec61b,Sec61 beta subunit,chr4 ,2.149,6,0.005
93551_at,Tm4sf7,transmembrane 4 superfamily member 7,chr7 ,0.862,6,0.008
93559_at,Apex1,apurinic/apyrimidinic endonuclease 1,chr14 ,1.957,6,0.002
93560_at,Acyp1,"acylphosphatase 1, erythrocyte (common) type",chr12 ,3.035,6,0.029
93562_at,Ndufb3,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 3,---,0.903,6,0.001
93579_at,5830427H10Rik,RIKEN cDNA 5830427H10 gene,chr6 ,1.438,6,0.034
93581_at,Ndufb8,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8,chr19 ,2.79,6,0.003
93582_at,Coq7,demethyl-Q 7,chr7 ,3.745,6,0.001
93593_f_at,Emp3,epithelial membrane protein 3,chr7 ,0.001,6,0.046
93596_i_at,Atp5e,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",chr2 ,1.737,6,0.006
93734_i_at,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3",chr2 ,0.698,6,0.002
93735_f_at,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3",chr2 ,1.365,6,0.011
93742_at,5730449L18Rik,RIKEN cDNA 5730449L18 gene,chr1 ,0.944,6,0.026
93754_at,Ech1,"enoyl coenzyme A hydratase 1, peroxisomal",chr7 ,0.716,6,0.015
93764_at,Grim19-pending,genes associated with retinoid-IFN-induced mortality 19,---,0.229,6,0.005
93780_at,Them2,thioesterase superfamily member 2,chr13 ,1.504,6,0.012
93784_at,Cfdp,craniofacial development protein 1,chr8 ,1.424,6,0.031
93786_i_at,Mrpl18,mitochondrial ribosomal protein L18,chr17 ,2.577,6,0.013
93787_f_at,Mrpl18,mitochondrial ribosomal protein L18,---,2.215,6,0.009
93812_at,Clns1a,"chloride channel, nucleotide-sensitive, 1A",chr7 ,1.373,6,0.031
93815_at,0610041L09Rik,RIKEN cDNA 0610041L09 gene,chr6 ,0.912,6,0.013
93820_at,Cox7a2,"cytochrome c oxidase, subunit VIIa 2",chr9 ,1.951,6,0.002
93833_s_at,Hist1h2bc,"histone 1, H2bc",chr13 ,1.06,6,0.043
93838_at,2700038C09Rik,RIKEN cDNA 2700038C09 gene,chr2 ,3.273,6,0.025
93952_r_at,2810417H13Rik,RIKEN cDNA 2810417H13 gene,---,0.619,6,0.014
93970_at,Ipo7,importin 7,chr7 ,0.551,6,0.018
93984_at,Atpi,ATPase inhibitor,---,1.332,6,0
93988_at,Psma7,"proteasome (prosome, macropain) subunit, alpha type 7",chr2 ,1.392,6,0.02
93991_at,Mor1,"malate dehydrogenase, mitochondrial",chr5 ,1.136,6,0.009
93993_at,Lman2,"lectin, mannose-binding 2",chr13 ,1.647,6,0.002
93999_at,Snrpg,small nuclear ribonucleoprotein polypeptide G,chr17 ,0.927,6,0.002
94014_at,2510048O06Rik,RIKEN cDNA 2510048O06 gene,---,1.798,6,0
94025_at,Psmb3,"proteasome (prosome, macropain) subunit, beta type 3",chr16 ,1.932,6,0.035
94032_at,Apoa1bp,apolipoprotein A-I binding protein,chr3 ,0.949,6,0.008
94034_at,Smfn,small fragment nuclease,chr9 ,0.778,6,0
94040_at,Erh,enhancer of rudimentary homolog (Drosophila),chr12 ,1.929,6,0.001
94062_at,Ndufv2,NADH dehydrogenase (ubiquinone) flavoprotein 2,chr17 ,1.3,6,0.045
94110_f_at,NoneAvailable,"Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430088G18 product:hypothetical Zinc finger, C2H2 type containing protein, full insert sequence",---,0.488,6,0.033
94206_at,Grcc10,"gene rich cluster, C10 gene",chr6 ,0.906,6,0
94210_at,Timm9,translocase of inner mitochondrial membrane 9 homolog (yeast),chr10 ,3.713,6,0.022
94252_at,Eif2s3x,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked",chrX ,0.381,6,0.049
94263_f_at,Psmb7,"proteasome (prosome, macropain) subunit, beta type 7",chr2 ,1.959,6,0.018
94267_i_at,NoneAvailable,---,chr9 ,0.902,6,0.037
94268_f_at,NoneAvailable,---,chr9 ,0.316,6,0.004
94275_at,Urod,uroporphyrinogen decarboxylase,chr4 ,1.492,6,0.015
94276_at,Hsd17b12,hydroxysteroid (17-beta) dehydrogenase 12,chr2 ,0.315,6,0.041
94277_at,Mtx1,metaxin 1,chr3 ,1.276,6,0.007
94278_at,Lcp1,lymphocyte cytosolic protein 1,chr14 ,-0.14,6,0.027
94294_at,Ccnb2,cyclin B2,chr9 ,4.408,6,0.001
94313_at,Snrp1c,U1 small nuclear ribonucleoprotein 1C,chr15 ,-0.007,6,0.002
94323_at,D630012G11Rik,RIKEN cDNA D630012G11 gene,chr19 ,1.879,6,0
94360_at,2700029M09Rik,RIKEN cDNA 2700029M09 gene,chr8 ,1.272,6,0.009
94372_at,Nudt1,nudix (nucleoside diphosphate linked moiety X)-type motif 1,---,3.289,6,0.003
94394_at,Rras,"Harvey rat sarcoma oncogene, subgroup R",chr7 ,-0.442,6,0.049
94455_at,Lsm3,"LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)",chr6 ,2.688,6,0.002
94494_at,Farsl,phenylalanine-tRNA synthetase-like,chr1 ,1.832,6,0.008
94506_at,Cpsf5,cleavage and polyadenylation specific factor 5,chr3 ,0.914,6,0.007
94526_at,D10Ertd214e,"DNA segment, Chr 10, ERATO Doi 214, expressed",chr10 ,2.227,6,0
94558_g_at,Gtf3a,general transcription factor III A,chr5 ,1.943,6,0.011
94789_r_at,Tubb5,"tubulin, beta 5",chr17 ,3.275,6,0.044
94841_at,Psma5,"proteasome (prosome, macropain) subunit, alpha type 5",chr10 ,1.755,6,0.007
94862_i_at,Dncl2a,"dynein, cytoplasmic, light chain 2A",---,0.742,6,0.043
94870_f_at,2310075M17Rik,RIKEN cDNA 2310075M17 gene,chr11 ,1.008,6,0.02
94892_r_at,Mea1,male enhanced antigen 1,chr17 ,1.005,6,0.017
94897_at,Gpx4,glutathione peroxidase 4,---,0.101,6,0.046
94908_r_at,1110001J03Rik,RIKEN cDNA 1110001J03 gene,chr6 ,0.276,6,0.029
94912_at,Mrps21,mitochondrial ribosomal protein S21,chr3 ,1.449,6,0.017
94925_at,1810055D05Rik,RIKEN cDNA 1810055D05 gene,chr3 ,0.976,6,0.021
94931_at,1810045K17Rik,RIKEN cDNA 1810045K17 gene,chr3 ,1.276,6,0.034
94933_at,BC008155,cDNA sequence BC008155,chr17 ,1.315,6,0.039
95015_at,Akr1c13,"aldo-keto reductase family 1, member C13",chr13 ,0.179,6,0.002
95042_at,C030002N13Rik,RIKEN cDNA C030002N13 gene,chr4 ,0.462,6,0.014
95045_at,0610012D09Rik,RIKEN cDNA 0610012D09 gene,chr7 ,1.41,6,0
95049_at,Snrpd2,small nuclear ribonucleoprotein D2,chr10 ,1.485,6,0.03
95052_at,1110035L05Rik,RIKEN cDNA 1110035L05 gene,chr4 ,0.243,6,0.025
95053_s_at,Sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",chr4 ,2.681,6,0.023
95061_at,Bcas2,breast carcinoma amplified sequence 2,chr3 ,0.334,6,0
95064_at,Acaa2,acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase),chr18 ,0.479,6,0.016
95067_at,Mrpl2,mitochondrial ribosomal protein L2,chr17 ,1.667,6,0.023
95091_at,Sec13r,SEC13 related gene (S. cerevisiae),---,1.672,6,0.001
95105_at,2010110M21Rik,RIKEN cDNA 2010110M21 gene,chr13 ,0.297,6,0.025
95132_r_at,Ndufb2,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2",chr6 ,1.988,6,0.024
95408_at,2310003F16Rik,RIKEN cDNA 2310003F16 gene,chr2 ,0.987,6,0.023
95413_at,6030432N09Rik,RIKEN cDNA 6030432N09 gene,chr5 ,0.123,6,0.035
95426_at,Echs1,"enoyl Coenzyme A hydratase, short chain, 1, mitochondrial",chr7 ,0.838,6,0.02
95441_at,Timm23,translocase of inner mitochondrial membrane 23 homolog (yeast),chr1 ,1.675,6,0.042
95448_at,Psmc2,"proteasome (prosome, macropain) 26S subunit, ATPase 2",chr5 ,1.408,6,0.017
95460_at,Cops5,"COP9 (constitutive photomorphogenic) homolog, subunit 5 (Arabidopsis thaliana)",chr1 ,1.564,6,0.025
95472_f_at,Uqcrb,ubiquinol-cytochrome c reductase binding protein,chr13 ,0.734,6,0.006
95479_at,1110036E10Rik,RIKEN cDNA 1110036E10 gene,chr11 ,0.426,6,0.049
95480_at,D11Wsu68e,"DNA segment, Chr 11, Wayne State University 68, expressed",chr11 ,1.471,6,0.003
95485_at,Hadhsc,"L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain",chr3 ,0.06,6,0.011
95491_at,Park7,"Parkinson disease (autosomal recessive, early onset) 7",chr4 ,1.248,6,0.002
95497_at,1110005A05Rik,RIKEN cDNA 1110005A05 gene,chr9 ,3.276,6,0.011
95498_at,Mrps15,mitochondrial ribosomal protein S15,chr4 ,2.035,6,0.005
95561_at,1700013H19Rik,RIKEN cDNA 1700013H19 gene,chr8 ,0.899,6,0.003
95590_at,Alg5,"asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)",chr3 ,1.43,6,0.003
95593_at,Golph2,golgi phosphoprotein 2,chr13 ,1.191,6,0.018
95606_at,Nsap1l-pending,NS1-associated protein 1-like,chr9 ,1.239,6,0.005
95620_at,2310016E22Rik,RIKEN cDNA 2310016E22 gene,chr12 ,0.069,6,0.004
95634_at,0610010K14Rik,RIKEN cDNA 0610010K14 gene,---,1.777,6,0.023
95635_g_at,0610010K14Rik,RIKEN cDNA 0610010K14 gene,chr11 ,0.403,6,0.036
95636_at,0610010K14Rik,RIKEN cDNA 0610010K14 gene,chr11 ,2.424,6,0.007
95649_at,Phf5a,PHD finger protein 5A,chr15 ,1.933,6,0.012
95654_at,Clic1,chloride intracellular channel 1,chr17 ,-0.179,6,0.033
95656_i_at,D13Wsu177e,"DNA segment, Chr 13, Wayne State University 177, expressed",chr13 ,2.603,6,0.011
95660_at,0610025L15Rik,RIKEN cDNA 0610025L15 gene,chr7 ,2.58,6,0
95677_at,0610009C03Rik,RIKEN cDNA 0610009C03 gene,---,2.789,6,0.026
95690_at,1110030L07Rik,RIKEN cDNA 1110030L07 gene,chr15 ,3.584,6,0.007
95693_at,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",chr7 ,1.921,6,0.021
95696_at,Txnl2,thioredoxin-like 2,chr4 ,1.145,6,0.009
95698_at,Ndufb7,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7",chr8 ,2.162,6,0.008
95707_at,2900010M23Rik,RIKEN cDNA 2900010M23 gene,chr17 ,2.087,6,0.032
95714_at,0610009D07Rik,RIKEN cDNA 0610009D07 gene,chr12 ,1.473,6,0.027
95718_f_at,Usmg5,upregulated during skeletal muscle growth 5,chr19 ,1.302,6,0.006
95760_at,1110011K10Rik,RIKEN cDNA 1110011K10 gene,chr9 ,2.372,6,0.002
95891_at,NoneAvailable,Mus musculus transcribed sequences,chr16 ,3.953,6,0.017
96016_at,NoneAvailable,"Mus musculus cDNA clone MGC:67366 IMAGE:5683334, complete cds",chr2 ,3.771,6,0.015
96029_at,Sf3a3,"splicing factor 3a, subunit 3, 60kDa",chr4 ,2.16,6,0.047
96041_at,Rbm3,RNA binding motif protein 3,chr1 ,-0.448,6,0.038
96048_at,Hrsp12,heat-responsive protein 12,chr15 ,0.196,6,0.037
96052_at,Acp1,"acid phosphatase 1, soluble",---,1.712,6,0.022
96081_at,Tk1,thymidine kinase 1,chr11 ,2.893,6,0.014
96089_at,4931406C07Rik,RIKEN cDNA 4931406C07 gene,chr9 ,1.515,6,0.003
96093_at,ORF11,open reading frame 11,---,0.678,6,0.01
96112_at,Etfa,"electron transferring flavoprotein, alpha polypeptide",chr9 ,1.779,6,0.006
96231_at,2010012D11Rik,RIKEN cDNA 2010012D11 gene,chr13 ,0.868,6,0.031
96249_at,Sep15-pending,selenoprotein,chr3 ,0.398,6,0.031
96261_at,NoneAvailable,"Mus musculus cDNA clone MGC:67622 IMAGE:6410794, complete cds",chr4 ,1.384,6,0
96267_at,Ndufv1,NADH dehydrogenase (ubiquinone) flavoprotein 1,chr19 ,1.004,6,0.016
96268_at,Suclg1,"succinate-CoA ligase, GDP-forming, alpha subunit",chr6 ,1.173,6,0.015
96289_at,Stoml2,stomatin (Epb7.2)-like 2,chr4 ,2.901,6,0.001
96291_f_at,NoneAvailable,"Mus musculus cDNA clone IMAGE:6772417, with apparent retained intron",chr13 ,2.298,6,0
96292_r_at,NoneAvailable,"Mus musculus cDNA clone IMAGE:6772417, with apparent retained intron",chr13 ,1.544,6,0.01
96293_at,2410015N17Rik,RIKEN cDNA 2410015N17 gene,chr7 ,4.422,6,0.006
96319_at,Cdc20,cell division cycle 20 homolog (S. cerevisiae),---,4.591,6,0.004
96321_at,Ndufa9,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9",chr6 ,1.871,6,0.001
96336_at,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),---,0.529,6,0.022
96345_at,Sdbcag84,serologically defined breast cancer antigen 84,chr2 ,0.341,6,0.049
96353_at,1110021D01Rik,RIKEN cDNA 1110021D01 gene,chr13 ,2.999,6,0.003
96355_at,2900055D03Rik,RIKEN cDNA 2900055D03 gene,---,0.736,6,0.01
96605_at,0610011I04Rik,RIKEN cDNA 0610011I04 gene,chr6 ,-1.492,6,0.012
96611_at,NoneAvailable,"Mus musculus cDNA clone IMAGE:5694421, partial cds",chr17 ,0.414,6,0.001
96613_at,5730536A07Rik,RIKEN cDNA 5730536A07 gene,chr9 ,2.658,6,0.014
96627_at,Ebp,phenylalkylamine Ca2+ antagonist (emopamil) binding protein,chrX ,1.299,6,0.009
96634_at,5730469M10Rik,RIKEN cDNA 5730469M10 gene,---,-0.064,6,0.037
96652_at,Mrpl28,mitochondrial ribosomal protein L28,chr17 ,1.368,6,0.026
96668_at,Timm17b,translocator of inner mitochondrial membrane b,chrX ,2.162,6,0.003
96670_at,Gstk1,glutathione S-transferase kappa 1,chr6 ,-0.369,6,0.033
96678_at,Dhrs4,dehydrogenase/reductase (SDR family) member 4,chr14 ,0.742,6,0.006
96696_at,Hrmt1l2,heterogeneous nuclear ribonucleoproteins  methyltransferase-like 2 (S. cerevisiae),chr7 ,2.608,6,0.013
96699_at,Hmgn1,high mobility group nucleosomal binding domain 1,chr11 ,0.795,6,0.001
96733_at,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",chr3 ,0.959,6,0.024
96734_at,Synj2bp,synaptojanin 2 binding protein,chr12 ,0.397,6,0.031
96743_at,Skiip,SKI interacting protein,---,1.897,6,0.005
96775_at,Cbx1,chromobox homolog 1 (Drosophila HP1 beta),chr11 ,0.466,6,0.008
96840_at,Gabarapl2,GABA(A) receptor-associated protein like 2,chr5 ,-0.619,6,0.016
96849_at,Timm8a,translocase of inner mitochondrial membrane 8 homolog a (yeast),chr10 ,0.859,6,0.048
96861_at,Mrpl50,mitochondrial ribosomal protein L50,chr4 ,1.687,6,0.015
96888_at,Akr1a4,"aldo-keto reductase family 1, member A4 (aldehyde reductase)",chr4 ,0.887,6,0.042
96892_at,Psma1,"proteasome (prosome, macropain) subunit, alpha type 1",chr7 ,1.257,6,0.017
96899_at,Ndufs3,NADH dehydrogenase (ubiquinone) Fe-S protein 3,chr11 ,1.275,6,0.019
96902_at,2900091E11Rik,RIKEN cDNA 2900091E11 gene,chr10 ,1.339,6,0.042
96909_at,Ndufab1,"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1",chr7 ,1.256,6,0.014
96947_at,Etfb,"electron transferring flavoprotein, beta polypeptide",chr7 ,2.477,6,0
96948_at,Qdpr,quininoid dihydropteridine reductase,chr5 ,0.591,6,0.006
96952_at,Psma6,"proteasome (prosome, macropain) subunit, alpha type 6",chr12 ,1.235,6,0.004
96956_at,0610038D11Rik,RIKEN cDNA 0610038D11 gene,chr19 ,0.405,6,0.016
97013_f_at,Cyba,"cytochrome b-245, alpha polypeptide",chr8 ,0.992,6,0.013
97055_s_at,NoneAvailable,---,chr16 ,1.087,6,0.01
97164_at,2610207P08Rik,RIKEN cDNA 2610207P08 gene,---,3.233,6,0.011
97179_at,NoneAvailable,"Mus musculus mRNA similar to putative c-Myc-responsive (cDNA clone MGC:54855 IMAGE:5388297), complete cds",---,2.605,6,0.001
97200_f_at,Snrpe,small nuclear ribonucleoprotein E,chr1 ,0.59,6,0.041
97201_s_at,Ndufa5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",chr6 ,1.857,6,0.001
97207_f_at,Lypla1,lysophospholipase 1,chr1 ,0.831,6,0.047
97220_at,Dscr2,Down syndrome critical region homolog 2 (human),chr16 ,5.415,6,0
97248_at,Dbi,diazepam binding inhibitor,---,1.56,6,0
97268_i_at,0610010I12Rik,RIKEN cDNA 0610010I12 gene,chr3 ,1.265,6,0.003
97274_at,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",chr2 ,2.128,6,0.001
97276_at,Ckap1,cytoskeleton-associated protein 1,---,0.402,6,0.044
97279_at,6430402H10Rik,RIKEN cDNA 6430402H10 gene,chr6 ,-0.199,6,0.016
